Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1999,1999,tonnes,10600,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,2000,2000,tonnes,18700,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,2001,2001,tonnes,18700,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,2002,2002,tonnes,35357,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1961,1961,tonnes,49000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1962,1962,tonnes,55000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1963,1963,tonnes,53000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1964,1964,tonnes,52500,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1965,1965,tonnes,39054,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1966,1966,tonnes,51300,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1967,1967,tonnes,51530,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1968,1968,tonnes,68000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1969,1969,tonnes,70000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1970,1970,tonnes,111000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1971,1971,tonnes,179000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1972,1972,tonnes,215000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1973,1973,tonnes,188000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1974,1974,tonnes,171000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1975,1975,tonnes,123000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1976,1976,tonnes,166000,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1977,1977,tonnes,141017,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1978,1978,tonnes,178107,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1979,1979,tonnes,169852,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1980,1980,tonnes,235700,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1981,1981,tonnes,166100,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1982,1982,tonnes,131339,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1983,1983,tonnes,154900,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1984,1984,tonnes,203935,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1985,1985,tonnes,280632,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1986,1986,tonnes,271660,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1987,1987,tonnes,241200,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1988,1988,tonnes,146500,,Official data
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1989,1989,tonnes,117000,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1990,1990,tonnes,127000,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1991,1991,tonnes,91500,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1992,1992,tonnes,96800,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1993,1993,tonnes,130900,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1994,1994,tonnes,119300,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1995,1995,tonnes,46400,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1996,1996,tonnes,38000,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1997,1997,tonnes,97000,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1998,1998,tonnes,108000,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,1999,1999,tonnes,93000,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,2000,2000,tonnes,92300,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,2001,2001,tonnes,105300,*,Unofficial figure
RA,Fertilizers archive,4,Algeria,5157,Consumption,1818,Total Fertilizers,2002,2002,tonnes,98000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1961,1961,tonnes,1000,F,FAO estimate
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1962,1962,tonnes,1000,F,FAO estimate
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1963,1963,tonnes,1400,F,FAO estimate
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1964,1964,tonnes,2100,,Official data
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1965,1965,tonnes,4000,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1966,1966,tonnes,5200,*,Unofficial figure
RA,Fertilizers archive,7,Angola,5157,Consumption,1818,Total Fertilizers,1967,1967,tonnes,6700,*,Unofficial figure
